# print-axioms-clause4.log — 2026-09-17 13:29:00 IST; lake env lean comparator/PrintAxioms/SeparationClause4.lean, then the scratch probe axioms_clause4_probe.lean.txt on every theorem of Zeta23/Separation/Clause4.lean
'separation_clause4_in_window_noise' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.BL_contDiff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.BL_eq_zero_of_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.BLc_contDiff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.BLc_support' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.hasCompactSupport_BLc' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.hasDerivAt_BLc' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.deriv_BLc' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.paperFT_BLc' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.paperFT_ftest' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.gammaOf_of_re_eq_half' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.abs_cube_mul_norm_paperFT_Bc_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.term_le_b1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.term_le_B3' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.sum_inv_pow_four_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.sum_inv_pow_four_le'' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.window_count_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.shell_sum_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.inWindowNoise_le' depends on axioms: [propext, Classical.choice, Quot.sound]
