'Zeta23.Separation.abs_mul_norm_paperFT_Bc_le_integral' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.Braw_of_abs_lt' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.hasDerivAt_Braw' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.deriv_Braw_of_abs_lt' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.deriv_B' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.hasDerivAt_B' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.continuous_deriv_B' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.deriv_B_eq_zero_of_half_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.deriv_B_nonpos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.deriv_B_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.B_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.integral_norm_deriv_Bc' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.Braw_le_exp_neg_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.Z_le_exp_neg_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.four_le_b1sym' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.hb1sym' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.term_le_b1sym' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.inWindowNoise_le_b' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.absorb_b' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.clause6_assembly_b' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.wsum_double_plus' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.wsum_double_minus' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.clause7_tight_pair' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.log_le_div_403_add_five' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.cB_ge' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.exp_neg_four_thirds_le_Braw' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.one_div_eighteen_le_Z' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.log_CB_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.rstar_of_21L' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.b1sym' depends on axioms: [propext, Classical.choice, Quot.sound]
